regione_residenza,amministrazione,sesso,modalita_autenticazione,numero,fascia di età
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,35,35-44
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,260,35-44
CAMPANIA,MINISTERO DELLA DIFESA,F,CNS,17,45-54
CAMPANIA,MINISTERO DELLA DIFESA,F,CNS,6,45-54
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,47,45-54
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,30,45-54
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,3,45-54
CAMPANIA,MINISTERO DELLA DIFESA,F,CIE,2,55-64
CAMPANIA,MINISTERO DELLA DIFESA,F,CNS,34,55-64
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,115,55-64
CAMPANIA,MINISTERO DELLA DIFESA,F,SPID,4,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,7,65- 
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,4,65- 
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,7,65- 
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,172,65- 
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,142,18-24
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,13,18-24
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,3148,18-24
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,116,18-24
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,2,18-24
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,2,25-34
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,60,25-34
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,77,25-34
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,112,25-34
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,2686,25-34
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,32,25-34
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,8,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,17,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,117,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,20,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,500,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,345,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,4422,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,215,35-44
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,158,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,13,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,11,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,4,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,999,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,40,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,326,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,4691,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,279,45-54
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,63,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,CIE,16,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,81,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,CNS,322,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,69,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,544,55-64
CAMPANIA,MINISTERO DELLA DIFESA,M,SPID,1150,55-64
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CIE,12,65- 
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CNS,18,65- 
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,SPID,204,65- 
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CIE,2,18-24
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,SPID,163,18-24
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CIE,13,25-34
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CNS,17,25-34
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,SPID,1659,25-34
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CIE,22,35-44
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CNS,29,35-44
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,SPID,1114,35-44
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CIE,31,45-54
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CNS,80,45-54
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,SPID,1053,45-54
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CIE,42,55-64
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,CNS,128,55-64
CAMPANIA,MINISTERO DELLA GIUSTIZIA,F,SPID,912,55-64
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CIE,14,65- 
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CNS,29,65- 
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,SPID,245,65- 
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CIE,5,18-24
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,SPID,378,18-24
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CIE,39,25-34
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CNS,10,25-34
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,SPID,2651,25-34
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CIE,45,35-44
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CNS,22,35-44
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,SPID,1169,35-44
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CIE,61,45-54
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CNS,32,45-54
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,SPID,1786,45-54
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CIE,114,55-64
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,CNS,97,55-64
CAMPANIA,MINISTERO DELLA GIUSTIZIA,M,SPID,2236,55-64
CAMPANIA,MINISTERO DELLA SALUTE,F,SPID,14,25-34
CAMPANIA,MINISTERO DELLA SALUTE,F,SPID,16,35-44
CAMPANIA,MINISTERO DELLA SALUTE,F,SPID,11,45-54
CAMPANIA,MINISTERO DELLA SALUTE,F,CIE,2,55-64
CAMPANIA,MINISTERO DELLA SALUTE,F,CNS,2,55-64
CAMPANIA,MINISTERO DELLA SALUTE,F,SPID,9,55-64
CAMPANIA,MINISTERO DELLA SALUTE,M,SPID,9,65- 
CAMPANIA,MINISTERO DELLA SALUTE,M,SPID,8,25-34
CAMPANIA,MINISTERO DELLA SALUTE,M,SPID,16,35-44
CAMPANIA,MINISTERO DELLA SALUTE,M,SPID,7,45-54
CAMPANIA,MINISTERO DELLA SALUTE,M,CIE,2,55-64
CAMPANIA,MINISTERO DELLA SALUTE,M,SPID,18,55-64
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,F,SPID,2,65- 
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,F,SPID,11,25-34
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,F,SPID,15,35-44
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,F,SPID,7,45-54
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,F,SPID,11,55-64
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,M,SPID,14,65- 
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,M,SPID,17,25-34
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,M,CNS,2,35-44
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,M,SPID,24,35-44
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,M,SPID,16,45-54
CAMPANIA,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,M,SPID,22,55-64
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,SPID,9,65- 
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,SPID,14,25-34
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,SPID,28,35-44
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,CIE,2,45-54
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,CNS,3,45-54
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,SPID,24,45-54
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,CIE,9,55-64
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,F,SPID,52,55-64
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,CIE,9,65- 
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,SPID,42,65- 
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,SPID,30,25-34
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,SPID,63,35-44
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,CIE,2,45-54
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,SPID,50,45-54
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,CIE,9,55-64
CAMPANIA,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,M,SPID,141,55-64
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,CIE,3,25-34
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,SPID,32,25-34
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,SPID,29,35-44
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,CIE,3,45-54
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,CNS,2,45-54
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,SPID,37,45-54
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,F,SPID,18,55-64
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,SPID,12,65- 
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,SPID,32,25-34
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,CIE,2,35-44
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,SPID,40,35-44
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,CIE,4,45-54
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,CNS,2,45-54
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,SPID,52,45-54
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,CIE,2,55-64
CAMPANIA,MINISTERO UNIVERSITA' E RICERCA,M,SPID,45,55-64
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,F,SPID,2,65- 
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,F,SPID,8,25-34
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,F,SPID,19,35-44
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,F,SPID,20,45-54
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,F,CIE,2,55-64
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,F,SPID,6,55-64
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,M,SPID,3,65- 
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,M,SPID,13,25-34
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,M,SPID,26,35-44
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,M,SPID,25,45-54
CAMPANIA,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,M,SPID,18,55-64
CAMPANIA,REGIONE LAZIO,F,SPID,2,25-34
CAMPANIA,REGIONE LAZIO,F,SPID,3,35-44
CAMPANIA,REGIONE LAZIO,F,SPID,5,45-54
CAMPANIA,REGIONE LAZIO,F,SPID,5,55-64
CAMPANIA,REGIONE LAZIO,M,SPID,3,65- 
CAMPANIA,REGIONE LAZIO,M,SPID,4,25-34
CAMPANIA,REGIONE LAZIO,M,CNS,2,45-54
CAMPANIA,REGIONE LAZIO,M,SPID,7,45-54
CAMPANIA,REGIONE LAZIO,M,CNS,2,55-64
CAMPANIA,REGIONE LAZIO,M,SPID,6,55-64
EMILIA ROMAGNA,A.O.R.N. ANTONIO CARDARELLI,F,SPID,6,25-34
EMILIA ROMAGNA,A.O.R.N. ANTONIO CARDARELLI,M,SPID,2,35-44
EMILIA ROMAGNA,A.O.R.N. ANTONIO CARDARELLI,M,SPID,2,45-54
EMILIA ROMAGNA,AGENZIA DEL DEMANIO,F,SPID,8,35-44
EMILIA ROMAGNA,AGENZIA DEL DEMANIO,F,SPID,10,45-54
EMILIA ROMAGNA,AGENZIA DEL DEMANIO,F,SPID,3,55-64
EMILIA ROMAGNA,AGENZIA DEL DEMANIO,M,SPID,6,35-44
EMILIA ROMAGNA,AGENZIA DEL DEMANIO,M,SPID,10,45-54
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,CIE,3,65- 
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,SPID,17,65- 
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,SPID,16,25-34
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,SPID,19,35-44
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,SPID,65,45-54
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,CIE,3,55-64
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,F,SPID,104,55-64
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,CIE,4,65- 
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,SPID,22,65- 
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,SPID,29,25-34
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,CIE,3,35-44
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,SPID,32,35-44
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,CIE,2,45-54
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,SPID,65,45-54
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,CIE,9,55-64
EMILIA ROMAGNA,AGENZIA DELLE DOGANE,M,SPID,110,55-64
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CIE,2,65- 
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CNS,3,65- 
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,SPID,59,65- 
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,SPID,3,18-24
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CIE,2,25-34
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,SPID,116,25-34
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CIE,3,35-44
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,SPID,190,35-44
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CIE,2,45-54
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CNS,2,45-54
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,SPID,354,45-54
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CIE,7,55-64
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,CNS,4,55-64
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,F,SPID,283,55-64
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,SPID,48,65- 
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,CIE,4,25-34
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,SPID,128,25-34
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,CIE,5,35-44
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,SPID,156,35-44
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,CIE,9,45-54
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,CNS,7,45-54
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,SPID,305,45-54
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,CIE,11,55-64
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,CNS,11,55-64
EMILIA ROMAGNA,AGENZIA DELLE ENTRATE,M,SPID,292,55-64
EMILIA ROMAGNA,AGENZIA INDUSTRIE DIFESA AID,F,SPID,4,35-44
EMILIA ROMAGNA,AGENZIA INDUSTRIE DIFESA AID,F,SPID,3,55-64
EMILIA ROMAGNA,AGENZIA INDUSTRIE DIFESA AID,M,SPID,7,35-44
EMILIA ROMAGNA,AGENZIA INDUSTRIE DIFESA AID,M,CNS,3,55-64
EMILIA ROMAGNA,AGENZIA INDUSTRIE DIFESA AID,M,SPID,7,55-64
EMILIA ROMAGNA,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,F,SPID,3,25-34
EMILIA ROMAGNA,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,M,SPID,3,25-34
EMILIA ROMAGNA,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,M,SPID,2,35-44
EMILIA ROMAGNA,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,M,SPID,2,55-64
EMILIA ROMAGNA,ARCHIVI NOTARILI,F,SPID,3,65- 
EMILIA ROMAGNA,ARCHIVI NOTARILI,F,SPID,6,45-54
EMILIA ROMAGNA,ARCHIVI NOTARILI,F,CIE,2,55-64
EMILIA ROMAGNA,ARCHIVI NOTARILI,F,SPID,8,55-64
EMILIA ROMAGNA,ARCHIVI NOTARILI,M,SPID,2,45-54
EMILIA ROMAGNA,ARCHIVI NOTARILI,M,SPID,4,55-64
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,F,SPID,14,25-34
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,F,SPID,3,35-44
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,F,SPID,4,45-54
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,F,SPID,8,55-64
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,M,SPID,3,25-34
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,M,SPID,3,45-54
EMILIA ROMAGNA,AUTORITA' DI BACINO DISTRETTUALE DEL FIUME PO,M,SPID,3,55-64
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,F,CNS,2,35-44
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,F,SPID,2,45-54
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,F,CNS,2,55-64
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,F,SPID,3,55-64
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,M,CNS,3,25-34
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,M,SPID,3,25-34
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,M,CNS,3,35-44
EMILIA ROMAGNA,AVVOCATURA GENERALE DELLO STATO,M,SPID,3,45-54
EMILIA ROMAGNA,AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,F,SPID,2,25-34
EMILIA ROMAGNA,AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,F,SPID,2,35-44
EMILIA ROMAGNA,AZIENDA SANITARIA LOCALE ROMA 2,F,SPID,2,25-34
EMILIA ROMAGNA,AZIENDA SANITARIA LOCALE ROMA 2,M,SPID,3,25-34
EMILIA ROMAGNA,AZIENDA SANITARIA LOCALE ROMA 2,M,SPID,2,35-44
EMILIA ROMAGNA,AZIENDA SANITARIA LOCALE LATINA,F,SPID,4,25-34
EMILIA ROMAGNA,AZIENDA SANITARIA LOCALE ROMA 5,F,SPID,3,35-44
EMILIA ROMAGNA,CONSIGLIO DI STATO E T.A.R.,F,SPID,3,25-34
EMILIA ROMAGNA,CONSIGLIO DI STATO E T.A.R.,F,SPID,3,45-54
EMILIA ROMAGNA,CONSIGLIO DI STATO E T.A.R.,F,SPID,7,55-64
EMILIA ROMAGNA,CONSIGLIO DI STATO E T.A.R.,M,SPID,2,65- 
EMILIA ROMAGNA,CONSIGLIO DI STATO E T.A.R.,M,SPID,6,35-44
EMILIA ROMAGNA,CONSIGLIO DI STATO E T.A.R.,M,SPID,3,55-64
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,F,SPID,3,65- 
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,F,SPID,10,35-44
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,F,SPID,17,45-54
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,F,SPID,20,55-64
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,SPID,5,65- 
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,SPID,10,35-44
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,SPID,9,45-54
EMILIA ROMAGNA,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,M,SPID,17,55-64
EMILIA ROMAGNA,CORTE DEI CONTI,F,SPID,2,65- 
EMILIA ROMAGNA,CORTE DEI CONTI,F,SPID,4,35-44
EMILIA ROMAGNA,CORTE DEI CONTI,F,SPID,13,45-54
EMILIA ROMAGNA,CORTE DEI CONTI,F,SPID,14,55-64
EMILIA ROMAGNA,CORTE DEI CONTI,M,SPID,2,65- 
EMILIA ROMAGNA,CORTE DEI CONTI,M,SPID,2,25-34
EMILIA ROMAGNA,CORTE DEI CONTI,M,SPID,4,35-44
EMILIA ROMAGNA,CORTE DEI CONTI,M,SPID,7,45-54
EMILIA ROMAGNA,CORTE DEI CONTI,M,SPID,4,55-64
EMILIA ROMAGNA,ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA,M,SPID,2,45-54
EMILIA ROMAGNA,ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA,M,SPID,3,55-64
EMILIA ROMAGNA,GUARDIA DI FINANZA,F,SPID,19,18-24
EMILIA ROMAGNA,GUARDIA DI FINANZA,F,CIE,2,25-34
EMILIA ROMAGNA,GUARDIA DI FINANZA,F,SPID,76,25-34
EMILIA ROMAGNA,GUARDIA DI FINANZA,F,SPID,58,35-44
EMILIA ROMAGNA,GUARDIA DI FINANZA,F,SPID,8,45-54
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,CIE,2,18-24
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,SPID,41,18-24
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,CIE,4,25-34
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,SPID,210,25-34
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,CIE,5,35-44
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,SPID,293,35-44
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,CIE,13,45-54
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,SPID,789,45-54
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,CIE,26,55-64
EMILIA ROMAGNA,GUARDIA DI FINANZA,M,SPID,557,55-64
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,SPID,10,65- 
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,SPID,15,25-34
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,SPID,21,35-44
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,CIE,2,45-54
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,CNS,2,45-54
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,SPID,64,45-54
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,CIE,3,55-64
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,CNS,9,55-64
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,F,SPID,67,55-64
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,SPID,8,65- 
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,SPID,11,25-34
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,CNS,2,35-44
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,SPID,21,35-44
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,CIE,2,45-54
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,CNS,3,45-54
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,SPID,41,45-54
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,CNS,3,55-64
EMILIA ROMAGNA,ISPETTORATO NAZIONALE DEL LAVORO,M,SPID,28,55-64
EMILIA ROMAGNA,ISTITUTO SUPERIORE DI SANITA',F,SPID,2,25-34
EMILIA ROMAGNA,ISTITUTO SUPERIORE DI SANITA',F,SPID,2,35-44
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,F,SPID,6,25-34
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,F,SPID,2,35-44
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,F,SPID,2,45-54
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,SPID,6,25-34
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,SPID,4,35-44
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,CIE,2,45-54
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,SPID,3,45-54
EMILIA ROMAGNA,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,M,SPID,3,55-64
